あ、それ私も思ってたところだぜ,年明けるまであと何時間ぐらいかしら？
さぁな,帰ろうかしら？ここにいても年明けに何かするっていう雰囲気でもないし
あら、もう帰ってしまうの？,そうね。ここにいても仕方ないし
もっと私を楽しませてくれると思ったのに・・・,残念ね。なぜかテンションが上がらないの。あなたたちもよかったらどう？年明けの宴会。
遠慮しておくわ。それぞれの場所で、いろいろな過ごし方があるもの,そう
年明けぐらい、二人で過ごしたっていいだろ？,そうね
挨拶だけして帰ろうと思ったのに,どうせすぐ本借りに来るんでしょ？
いや、来年もよろしく、って,そんなことしたらアリスがやきもち焼くわよ
なんでだよ・・・,さあねぇ
やっぱり、霊夢の家でゆっくりこたつに入ってお茶飲んでるのが一番落ち着くぜ,これじゃいつもと変わりないわね。せっかく年が明けるのに
それはそれでいいじゃねぇか。変わらないっていうのも幸せだぜ？,そうね。あら、雪降ってるじゃない！寒いと思ったわ
どこからともなく氷の妖精が現れそうだし、寒いし、戸を閉めてくれよ,はいはい
ま、何はともあれよ、あれだ、来年もよろしくな,何ちょっと照れてるのよ
改まっていうと照れるだろ？こういうことって,そうかしら？ってそんなこと言ってる間に日付変わってるわよ
あ、あけましておめでとうだぜ、霊夢,あけましておめでとう、魔理沙。なんか変な感じね
小悪魔・・・まだかしら,あーあ、これから二日はかかるんじゃないの！？
そうかー。ま、頑張るんだぜー,頑張るんだぜー、じゃな・く・て、アンタも手伝いなさいよ
頑張るんだぜー、じゃな・く・て、アンタも手伝いなさいよ,そうすれば、一日で終わるわよ、きっと
その金でいろいろ買い出しするんだぜ？私はいつでも予定てんこ盛りなんだぜ,アンタねー・・・
あ、あとパチュリーにも本借りに行くか,そうよ！
うわ、いきなりなんだよ！？,これだけ私の神社でどんちゃん騒ぎして汚っったなくして帰ったんだもん、お正月は私がお邪魔すればいいんじゃない！
これだけ私の神社でどんちゃん騒ぎして汚っったなくして帰ったんだもん、お正月は私がお邪魔すればいいんじゃない！,というか、クリスマスもウチですることなかったじゃない！！
というか、クリスマスもウチですることなかったじゃない！！,あぁー、こんなに簡単なことにも気づかなかったなんてー
お邪魔するって、どこにだよ？,そうねぇ・・・月まで行ってつきたてのお餅食べるもいいけどぉ・・・やっぱりあのお屋敷でしょ
紅魔館か？あそこ、正月とかなんかすんのか？クリスマスならまだしも,まー、しなかったらしなかったで美味しいもの食べて帰ってくるわよ
歓迎してくれるとは思えないがな。しかし、タダ飯食えるのはいいな！私も暇だし行ってやるぜ？,アンタ、予定てんこ盛りじゃなかったの？
細かいことは気にすんな！霊夢は一人じゃさびしいだろうなーって思ってよ？,そうねー、じゃあそんな優しい魔理沙さんにはぁ、クリスマス会の片付け手伝ってもらおうかしら？
そうねー、じゃあそんな優しい魔理沙さんにはぁ、クリスマス会の片付け手伝ってもらおうかしら？,あぁーひとりで片付けさびしいわー、っと
あー、わかったわかった。寒いからこっち寄んな,じゃあ、アンタいつもここの門普通に通るの？
普通に通ってるし！えっへん！,顔パスってわけ？なかなかやるじゃない
ただちょっと眠くなっちゃったり、美味しそうな匂いしたり、珍しい人が通ったりしたら仕事中誘惑に負けちゃうけど,それをサボってるっていうのよ。それより中に入れてもらえる？
そんな話一言も聞いてないんですけどー,だって言ってないもの
あれを着たお嬢様に・・・フフフッ あぁ、お嬢様・・・,相変わらずなのね
まさかこの流れ・・・私たちも参加するのか？,私、お腹空いたから参加しないわよ
参加者全員に最高級コウモリのステーキを用意しようと思ったのだけれど・・・,し、仕方ないわね
参加するのかよ！っていうかコウモリのステーキだぜ？どう考えても気持ち悪いだろ・・・,で、用意はできてるわけ？
そんなことするわけないじゃない、楽しくないもの。小細工は一切なしだから何があっても文句は言わせないから,わかったわ
それでは私はこれで失礼します。ごゆっくりー,アリスがいなくてよかったわねぇ
赤を引くと王様。普通の王様ゲームと同じです,鼻血出てるわよ？
私はこれ,私は余りもので
魔理沙が…王様…？,ホラ、さっさと命令しなさい。私はお腹が空いたの
3番と、5番が,私のために酒を持ってくる！おつまみ付きで！
ガク,何それ！？アンタせっかく王様になったのにそんな命令でいいの？
いや、とりあえず酒飲みたいし,あーあ、次やりましょ
ディープキス・・・はぁ？,あぁ～よかったー、私じゃないわ
それはそうだけど～・・・,パチュリー、息してる？
お部屋の片づけが大変なのでほどほどにお願いしますよ、フランお嬢様,さっさとごはん用意してくれないかしら。あ、その前にお風呂行きましょ魔理沙
あ、あぁ,あぁ～生き返るわぁ
銭湯っていう感じじゃないけど、これはこれでいいなぁ,そうねぇ、でもいつも通り神社でどんちゃんしてた方が楽しいわ
あ、それ私も思ってたところだぜ,年明けるまであと何時間ぐらいかしら？
さぁな,帰ろうかしら？ここにいても年明けに何かするっていう雰囲気でもないし
あら、もう帰ってしまうの？,そうね。ここにいても仕方ないし
もっと私を楽しませてくれると思ったのに・・・,残念ね。なぜかテンションが上がらないの。あなたたちもよかったらどう？年明けの宴会。
遠慮しておくわ。それぞれの場所で、いろいろな過ごし方があるもの,そう
年明けぐらい、二人で過ごしたっていいだろ？,そうね
挨拶だけして帰ろうと思ったのに,どうせすぐ本借りに来るんでしょ？
いや、来年もよろしく、って,そんなことしたらアリスがやきもち焼くわよ
なんでだよ・・・,さあねぇ
やっぱり、霊夢の家でゆっくりこたつに入ってお茶飲んでるのが一番落ち着くぜ,これじゃいつもと変わりないわね。せっかく年が明けるのに
それはそれでいいじゃねぇか。変わらないっていうのも幸せだぜ？,そうね。あら、雪降ってるじゃない！寒いと思ったわ
どこからともなく氷の妖精が現れそうだし、寒いし、戸を閉めてくれよ,はいはい
ま、何はともあれよ、あれだ、来年もよろしくな,何ちょっと照れてるのよ
改まっていうと照れるだろ？こういうことって,そうかしら？ってそんなこと言ってる間に日付変わってるわよ
あ、あけましておめでとうだぜ、霊夢,あけましておめでとう、魔理沙。なんか変な感じね
どうかされましたか、お嬢様,地底に新しいレストランができたですって？
どうかされましたか、お嬢様,地底に新しいレストランができたですって？
プレゼント,幻想郷の百合関係？
せっかくなのでまとめてみました,花の本？
違いますよ、まずは読んでみてください,だって百合って花のことじゃないの…？
最初に載っているのは>>3さんと>>5さんですね,幻想郷の百合関係？
幻想郷の百合関係？,紫と…あの毒人形の写真？
紫と…あの毒人形の写真？,しかも抱っこしてるし…
天狗に頼んで撮ってきてもらいました,何よ、あの二人知り合いだったの？
ええ、しかも写真のように仲いいみたいですね,ふぅん…
二人とも金髪ですし、西洋風の服で案外並ぶとお似合いかもしれませんね,紫がメディスンを抱っこ…
紫がメディスンを抱っこ…,プッ…親子かなにかみたい
プッ…親子かなにかみたい,いや、むしろま
ペッ,……はっ
…大丈夫ですか？,え、何が…？
いや、スキマに…,紫とメディスンの話でしょう？
紫とメディスンの話でしょう？,まるで姉妹みたいでお似合いだと思うわ
……,さ、次にいくわよ
さ、次にいくわよ,次は…>>18と>>20？
次は…>>18と>>20？,早苗と…ああ、天狗の片割れね
守矢神社は山にありますし、天狗とも関係を持てたんでしょうね,そういえばあの天狗が持ってたカメラ、早苗の部屋でも見たことがあるわ
ひょっとして使い方を聞きに行って仲良くなったりしたのかもしれませんね,でもはたては引きこもりとかって聞いたわよ？
久しぶりに外の世界のものを見て、何か来るものがあったのかもしれませんね,ふぅん…
ちょっといいと思いませんか？,そういうもの？
次のページへ行きましょうか,はいはい
はいはい,次は…と
>>34さんと>>36さんの二人です,あれ、こいつ…
霊夢さんは何か知っていますか？,悪いわね…思い出せないわ…
悪いわね…思い出せないわ…,でも、少なくとも幽香が付き合う相手だもの
でも、少なくとも幽香が付き合う相手だもの,それなりに腕の立つ奴なんじゃないの？
写真では角が見えますね,鬼の仲間みたいなものじゃないの？
鬼ですか…やはり幽香さんと釣り合うには強さが必要なんですか？,私に聞かれても幽香の好みなんて知らないわよ
私に聞かれても幽香の好みなんて知らないわよ,だいたい、何で私に聞くのよ？
そういうことにも詳しいかと思いまして,そういう話なら私より文に聞いたほうが早いわよ
そういう話なら私より文に聞いたほうが早いわよ,あいつのほうが早いし詳しいだろうから
そういえば霊夢さんにはそういう話はないんですか？,はぁ…そんなのあるわけないでしょうが
本当ですかね…？,ほら、次行くわよ
これは…>>47さんと>>49さんが腕を組んでる写真ですね,これは…
なかなか癒される写真だと思いませんか？,そうね…無邪気に腕に抱きつく大妖精に
こういうのが趣味の人に見せたら危険なレベルですよ,ちょ、ちょっと息が荒いわよ？
すみません、二人が絡んでいるのを想像してました,……危険な人物は案外近くにいるものね
さ、最後のページです,ようやく終わり？
ようやく終わり？,どれど…！？
>>54さんと>>63さんのキスの瞬間です,これ、私とあんたの…
はい、ばっちり撮られちゃいました,笑い事じゃないでしょうが！
霊夢さん、自分には浮いた話はないって,う……
せっかく二人きりなのに、あんなこと言うなんて…,それは…悪かったわよ……
言葉だけじゃ信用できません,ど、どうすればいいのよ…？
…いえ、写真以上に,……また撮られるかもしれないわよ？
構いませんよ、貴方とすれ違うほうが何百倍も問題です,うう…
ですから…,…！
次は貴方の番ですよ？,く…うぅぅ……
ん…,これで、いいでしょ…
だめです,な…？
写真以上と言いましたよね？,も、もう遅いし、そろそろ神社に帰らないと…
今夜は、泊まっていってくれて結構です！,いや、阿きゅ…眼が怖いから…
さぁ！たっぷりと愛し合いましょう！,ひ、あ、あぁー！？
どうかされましたか、お嬢様,地底に新しいレストランができたですって？
プレゼント,幻想郷の百合関係？
せっかくなのでまとめてみました,花の本？
違いますよ、まずは読んでみてください,だって百合って花のことじゃないの…？
最初に載っているのは>>3さんと>>5さんですね,幻想郷の百合関係？
幻想郷の百合関係？,紫と…あの毒人形の写真？
紫と…あの毒人形の写真？,しかも抱っこしてるし…
天狗に頼んで撮ってきてもらいました,何よ、あの二人知り合いだったの？
ええ、しかも写真のように仲いいみたいですね,ふぅん…
二人とも金髪ですし、西洋風の服で案外並ぶとお似合いかもしれませんね,紫がメディスンを抱っこ…
紫がメディスンを抱っこ…,プッ…親子かなにかみたい
プッ…親子かなにかみたい,いや、むしろま
ペッ,……はっ
…大丈夫ですか？,え、何が…？
いや、スキマに…,紫とメディスンの話でしょう？
紫とメディスンの話でしょう？,まるで姉妹みたいでお似合いだと思うわ
……,さ、次にいくわよ
さ、次にいくわよ,次は…>>18と>>20？
次は…>>18と>>20？,早苗と…ああ、天狗の片割れね
守矢神社は山にありますし、天狗とも関係を持てたんでしょうね,そういえばあの天狗が持ってたカメラ、早苗の部屋でも見たことがあるわ
ひょっとして使い方を聞きに行って仲良くなったりしたのかもしれませんね,でもはたては引きこもりとかって聞いたわよ？
久しぶりに外の世界のものを見て、何か来るものがあったのかもしれませんね,ふぅん…
ちょっといいと思いませんか？,そういうもの？
次のページへ行きましょうか,はいはい
はいはい,次は…と
>>34さんと>>36さんの二人です,あれ、こいつ…
霊夢さんは何か知っていますか？,悪いわね…思い出せないわ…
悪いわね…思い出せないわ…,でも、少なくとも幽香が付き合う相手だもの
でも、少なくとも幽香が付き合う相手だもの,それなりに腕の立つ奴なんじゃないの？
写真では角が見えますね,鬼の仲間みたいなものじゃないの？
鬼ですか…やはり幽香さんと釣り合うには強さが必要なんですか？,私に聞かれても幽香の好みなんて知らないわよ
私に聞かれても幽香の好みなんて知らないわよ,だいたい、何で私に聞くのよ？
そういうことにも詳しいかと思いまして,そういう話なら私より文に聞いたほうが早いわよ
そういう話なら私より文に聞いたほうが早いわよ,あいつのほうが早いし詳しいだろうから
そういえば霊夢さんにはそういう話はないんですか？,はぁ…そんなのあるわけないでしょうが
本当ですかね…？,ほら、次行くわよ
これは…>>47さんと>>49さんが腕を組んでる写真ですね,これは…
なかなか癒される写真だと思いませんか？,そうね…無邪気に腕に抱きつく大妖精に
こういうのが趣味の人に見せたら危険なレベルですよ,ちょ、ちょっと息が荒いわよ？
すみません、二人が絡んでいるのを想像してました,……危険な人物は案外近くにいるものね
さ、最後のページです,ようやく終わり？
ようやく終わり？,どれど…！？
>>54さんと>>63さんのキスの瞬間です,これ、私とあんたの…
はい、ばっちり撮られちゃいました,笑い事じゃないでしょうが！
霊夢さん、自分には浮いた話はないって,う……
せっかく二人きりなのに、あんなこと言うなんて…,それは…悪かったわよ……
言葉だけじゃ信用できません,ど、どうすればいいのよ…？
…いえ、写真以上に,……また撮られるかもしれないわよ？
構いませんよ、貴方とすれ違うほうが何百倍も問題です,うう…
ですから…,…！
次は貴方の番ですよ？,く…うぅぅ……
ん…,これで、いいでしょ…
だめです,な…？
写真以上と言いましたよね？,も、もう遅いし、そろそろ神社に帰らないと…
今夜は、泊まっていってくれて結構です！,いや、阿きゅ…眼が怖いから…
さぁ！たっぷりと愛し合いましょう！,ひ、あ、あぁー！？
どうかされましたか、お嬢様,地底に新しいレストランができたですって？
プレゼント,幻想郷の百合関係？
せっかくなのでまとめてみました,花の本？
違いますよ、まずは読んでみてください,だって百合って花のことじゃないの…？
最初に載っているのは>>3さんと>>5さんですね,幻想郷の百合関係？
幻想郷の百合関係？,紫と…あの毒人形の写真？
紫と…あの毒人形の写真？,しかも抱っこしてるし…
天狗に頼んで撮ってきてもらいました,何よ、あの二人知り合いだったの？
ええ、しかも写真のように仲いいみたいですね,ふぅん…
二人とも金髪ですし、西洋風の服で案外並ぶとお似合いかもしれませんね,紫がメディスンを抱っこ…
紫がメディスンを抱っこ…,プッ…親子かなにかみたい
プッ…親子かなにかみたい,いや、むしろま
ペッ,……はっ
…大丈夫ですか？,え、何が…？
いや、スキマに…,紫とメディスンの話でしょう？
紫とメディスンの話でしょう？,まるで姉妹みたいでお似合いだと思うわ
……,さ、次にいくわよ
さ、次にいくわよ,次は…>>18と>>20？
次は…>>18と>>20？,早苗と…ああ、天狗の片割れね
守矢神社は山にありますし、天狗とも関係を持てたんでしょうね,そういえばあの天狗が持ってたカメラ、早苗の部屋でも見たことがあるわ
ひょっとして使い方を聞きに行って仲良くなったりしたのかもしれませんね,でもはたては引きこもりとかって聞いたわよ？
久しぶりに外の世界のものを見て、何か来るものがあったのかもしれませんね,ふぅん…
ちょっといいと思いませんか？,そういうもの？
次のページへ行きましょうか,はいはい
はいはい,次は…と
>>34さんと>>36さんの二人です,あれ、こいつ…
霊夢さんは何か知っていますか？,悪いわね…思い出せないわ…
悪いわね…思い出せないわ…,でも、少なくとも幽香が付き合う相手だもの
でも、少なくとも幽香が付き合う相手だもの,それなりに腕の立つ奴なんじゃないの？
写真では角が見えますね,鬼の仲間みたいなものじゃないの？
鬼ですか…やはり幽香さんと釣り合うには強さが必要なんですか？,私に聞かれても幽香の好みなんて知らないわよ
私に聞かれても幽香の好みなんて知らないわよ,だいたい、何で私に聞くのよ？
そういうことにも詳しいかと思いまして,そういう話なら私より文に聞いたほうが早いわよ
そういう話なら私より文に聞いたほうが早いわよ,あいつのほうが早いし詳しいだろうから
そういえば霊夢さんにはそういう話はないんですか？,はぁ…そんなのあるわけないでしょうが
本当ですかね…？,ほら、次行くわよ
これは…>>47さんと>>49さんが腕を組んでる写真ですね,これは…
なかなか癒される写真だと思いませんか？,そうね…無邪気に腕に抱きつく大妖精に
こういうのが趣味の人に見せたら危険なレベルですよ,ちょ、ちょっと息が荒いわよ？
すみません、二人が絡んでいるのを想像してました,……危険な人物は案外近くにいるものね
さ、最後のページです,ようやく終わり？
ようやく終わり？,どれど…！？
>>54さんと>>63さんのキスの瞬間です,これ、私とあんたの…
はい、ばっちり撮られちゃいました,笑い事じゃないでしょうが！
霊夢さん、自分には浮いた話はないって,う……
せっかく二人きりなのに、あんなこと言うなんて…,それは…悪かったわよ……
言葉だけじゃ信用できません,ど、どうすればいいのよ…？
…いえ、写真以上に,……また撮られるかもしれないわよ？
構いませんよ、貴方とすれ違うほうが何百倍も問題です,うう…
ですから…,…！
次は貴方の番ですよ？,く…うぅぅ……
ん…,これで、いいでしょ…
だめです,な…？
写真以上と言いましたよね？,も、もう遅いし、そろそろ神社に帰らないと…
今夜は、泊まっていってくれて結構です！,いや、阿きゅ…眼が怖いから…
さぁ！たっぷりと愛し合いましょう！,ひ、あ、あぁー！？
どうかされましたか、お嬢様,地底に新しいレストランができたですって？
プレゼント,幻想郷の百合関係？
せっかくなのでまとめてみました,花の本？
違いますよ、まずは読んでみてください,だって百合って花のことじゃないの…？
最初に載っているのは>>3さんと>>5さんですね,幻想郷の百合関係？
幻想郷の百合関係？,紫と…あの毒人形の写真？
紫と…あの毒人形の写真？,しかも抱っこしてるし…
天狗に頼んで撮ってきてもらいました,何よ、あの二人知り合いだったの？
ええ、しかも写真のように仲いいみたいですね,ふぅん…
二人とも金髪ですし、西洋風の服で案外並ぶとお似合いかもしれませんね,紫がメディスンを抱っこ…
紫がメディスンを抱っこ…,プッ…親子かなにかみたい
プッ…親子かなにかみたい,いや、むしろま
ペッ,……はっ
…大丈夫ですか？,え、何が…？
いや、スキマに…,紫とメディスンの話でしょう？
紫とメディスンの話でしょう？,まるで姉妹みたいでお似合いだと思うわ
……,さ、次にいくわよ
さ、次にいくわよ,次は…>>18と>>20？
次は…>>18と>>20？,早苗と…ああ、天狗の片割れね
守矢神社は山にありますし、天狗とも関係を持てたんでしょうね,そういえばあの天狗が持ってたカメラ、早苗の部屋でも見たことがあるわ
ひょっとして使い方を聞きに行って仲良くなったりしたのかもしれませんね,でもはたては引きこもりとかって聞いたわよ？
久しぶりに外の世界のものを見て、何か来るものがあったのかもしれませんね,ふぅん…
ちょっといいと思いませんか？,そういうもの？
次のページへ行きましょうか,はいはい
はいはい,次は…と
>>34さんと>>36さんの二人です,あれ、こいつ…
霊夢さんは何か知っていますか？,悪いわね…思い出せないわ…
悪いわね…思い出せないわ…,でも、少なくとも幽香が付き合う相手だもの
でも、少なくとも幽香が付き合う相手だもの,それなりに腕の立つ奴なんじゃないの？
写真では角が見えますね,鬼の仲間みたいなものじゃないの？
鬼ですか…やはり幽香さんと釣り合うには強さが必要なんですか？,私に聞かれても幽香の好みなんて知らないわよ
私に聞かれても幽香の好みなんて知らないわよ,だいたい、何で私に聞くのよ？
そういうことにも詳しいかと思いまして,そういう話なら私より文に聞いたほうが早いわよ
そういう話なら私より文に聞いたほうが早いわよ,あいつのほうが早いし詳しいだろうから
そういえば霊夢さんにはそういう話はないんですか？,はぁ…そんなのあるわけないでしょうが
本当ですかね…？,ほら、次行くわよ
これは…>>47さんと>>49さんが腕を組んでる写真ですね,これは…
なかなか癒される写真だと思いませんか？,そうね…無邪気に腕に抱きつく大妖精に
こういうのが趣味の人に見せたら危険なレベルですよ,ちょ、ちょっと息が荒いわよ？
すみません、二人が絡んでいるのを想像してました,……危険な人物は案外近くにいるものね
さ、最後のページです,ようやく終わり？
ようやく終わり？,どれど…！？
>>54さんと>>63さんのキスの瞬間です,これ、私とあんたの…
はい、ばっちり撮られちゃいました,笑い事じゃないでしょうが！
霊夢さん、自分には浮いた話はないって,う……
せっかく二人きりなのに、あんなこと言うなんて…,それは…悪かったわよ……
言葉だけじゃ信用できません,ど、どうすればいいのよ…？
…いえ、写真以上に,……また撮られるかもしれないわよ？
構いませんよ、貴方とすれ違うほうが何百倍も問題です,うう…
ですから…,…！
次は貴方の番ですよ？,く…うぅぅ……
ん…,これで、いいでしょ…
だめです,な…？
写真以上と言いましたよね？,も、もう遅いし、そろそろ神社に帰らないと…
今夜は、泊まっていってくれて結構です！,いや、阿きゅ…眼が怖いから…
さぁ！たっぷりと愛し合いましょう！,ひ、あ、あぁー！？
どうかされましたか、お嬢様,地底に新しいレストランができたですって？
プレゼント,幻想郷の百合関係？
せっかくなのでまとめてみました,花の本？
違いますよ、まずは読んでみてください,だって百合って花のことじゃないの…？
最初に載っているのは>>3さんと>>5さんですね,幻想郷の百合関係？
幻想郷の百合関係？,紫と…あの毒人形の写真？
紫と…あの毒人形の写真？,しかも抱っこしてるし…
天狗に頼んで撮ってきてもらいました,何よ、あの二人知り合いだったの？
ええ、しかも写真のように仲いいみたいですね,ふぅん…
二人とも金髪ですし、西洋風の服で案外並ぶとお似合いかもしれませんね,紫がメディスンを抱っこ…
紫がメディスンを抱っこ…,プッ…親子かなにかみたい
プッ…親子かなにかみたい,いや、むしろま
ペッ,……はっ
…大丈夫ですか？,え、何が…？
いや、スキマに…,紫とメディスンの話でしょう？
紫とメディスンの話でしょう？,まるで姉妹みたいでお似合いだと思うわ
……,さ、次にいくわよ
さ、次にいくわよ,次は…>>18と>>20？
次は…>>18と>>20？,早苗と…ああ、天狗の片割れね
守矢神社は山にありますし、天狗とも関係を持てたんでしょうね,そういえばあの天狗が持ってたカメラ、早苗の部屋でも見たことがあるわ
ひょっとして使い方を聞きに行って仲良くなったりしたのかもしれませんね,でもはたては引きこもりとかって聞いたわよ？
久しぶりに外の世界のものを見て、何か来るものがあったのかもしれませんね,ふぅん…
ちょっといいと思いませんか？,そういうもの？
次のページへ行きましょうか,はいはい
はいはい,次は…と
>>34さんと>>36さんの二人です,あれ、こいつ…
霊夢さんは何か知っていますか？,悪いわね…思い出せないわ…
悪いわね…思い出せないわ…,でも、少なくとも幽香が付き合う相手だもの
でも、少なくとも幽香が付き合う相手だもの,それなりに腕の立つ奴なんじゃないの？
写真では角が見えますね,鬼の仲間みたいなものじゃないの？
鬼ですか…やはり幽香さんと釣り合うには強さが必要なんですか？,私に聞かれても幽香の好みなんて知らないわよ
私に聞かれても幽香の好みなんて知らないわよ,だいたい、何で私に聞くのよ？
そういうことにも詳しいかと思いまして,そういう話なら私より文に聞いたほうが早いわよ
そういう話なら私より文に聞いたほうが早いわよ,あいつのほうが早いし詳しいだろうから
そういえば霊夢さんにはそういう話はないんですか？,はぁ…そんなのあるわけないでしょうが
本当ですかね…？,ほら、次行くわよ
これは…>>47さんと>>49さんが腕を組んでる写真ですね,これは…
なかなか癒される写真だと思いませんか？,そうね…無邪気に腕に抱きつく大妖精に
こういうのが趣味の人に見せたら危険なレベルですよ,ちょ、ちょっと息が荒いわよ？
すみません、二人が絡んでいるのを想像してました,……危険な人物は案外近くにいるものね
さ、最後のページです,ようやく終わり？
ようやく終わり？,どれど…！？
>>54さんと>>63さんのキスの瞬間です,これ、私とあんたの…
はい、ばっちり撮られちゃいました,笑い事じゃないでしょうが！
霊夢さん、自分には浮いた話はないって,う……
せっかく二人きりなのに、あんなこと言うなんて…,それは…悪かったわよ……
言葉だけじゃ信用できません,ど、どうすればいいのよ…？
…いえ、写真以上に,……また撮られるかもしれないわよ？
構いませんよ、貴方とすれ違うほうが何百倍も問題です,うう…
ですから…,…！
次は貴方の番ですよ？,く…うぅぅ……
ん…,これで、いいでしょ…
だめです,な…？
写真以上と言いましたよね？,も、もう遅いし、そろそろ神社に帰らないと…
今夜は、泊まっていってくれて結構です！,いや、阿きゅ…眼が怖いから…
さぁ！たっぷりと愛し合いましょう！,ひ、あ、あぁー！？
どうかされましたか、お嬢様,地底に新しいレストランができたですって？
プレゼント,幻想郷の百合関係？
せっかくなのでまとめてみました,花の本？
違いますよ、まずは読んでみてください,だって百合って花のことじゃないの…？
最初に載っているのは>>3さんと>>5さんですね,幻想郷の百合関係？
幻想郷の百合関係？,紫と…あの毒人形の写真？
紫と…あの毒人形の写真？,しかも抱っこしてるし…
天狗に頼んで撮ってきてもらいました,何よ、あの二人知り合いだったの？
ええ、しかも写真のように仲いいみたいですね,ふぅん…
二人とも金髪ですし、西洋風の服で案外並ぶとお似合いかもしれませんね,紫がメディスンを抱っこ…
紫がメディスンを抱っこ…,プッ…親子かなにかみたい
プッ…親子かなにかみたい,いや、むしろま
ペッ,……はっ
…大丈夫ですか？,え、何が…？
いや、スキマに…,紫とメディスンの話でしょう？
紫とメディスンの話でしょう？,まるで姉妹みたいでお似合いだと思うわ
……,さ、次にいくわよ
さ、次にいくわよ,次は…>>18と>>20？
次は…>>18と>>20？,早苗と…ああ、天狗の片割れね
守矢神社は山にありますし、天狗とも関係を持てたんでしょうね,そういえばあの天狗が持ってたカメラ、早苗の部屋でも見たことがあるわ
ひょっとして使い方を聞きに行って仲良くなったりしたのかもしれませんね,でもはたては引きこもりとかって聞いたわよ？
久しぶりに外の世界のものを見て、何か来るものがあったのかもしれませんね,ふぅん…
ちょっといいと思いませんか？,そういうもの？
次のページへ行きましょうか,はいはい
はいはい,次は…と
>>34さんと>>36さんの二人です,あれ、こいつ…
霊夢さんは何か知っていますか？,悪いわね…思い出せないわ…
悪いわね…思い出せないわ…,でも、少なくとも幽香が付き合う相手だもの
でも、少なくとも幽香が付き合う相手だもの,それなりに腕の立つ奴なんじゃないの？
写真では角が見えますね,鬼の仲間みたいなものじゃないの？
鬼ですか…やはり幽香さんと釣り合うには強さが必要なんですか？,私に聞かれても幽香の好みなんて知らないわよ
私に聞かれても幽香の好みなんて知らないわよ,だいたい、何で私に聞くのよ？
そういうことにも詳しいかと思いまして,そういう話なら私より文に聞いたほうが早いわよ
そういう話なら私より文に聞いたほうが早いわよ,あいつのほうが早いし詳しいだろうから
そういえば霊夢さんにはそういう話はないんですか？,はぁ…そんなのあるわけないでしょうが
本当ですかね…？,ほら、次行くわよ
これは…>>47さんと>>49さんが腕を組んでる写真ですね,これは…
なかなか癒される写真だと思いませんか？,そうね…無邪気に腕に抱きつく大妖精に
こういうのが趣味の人に見せたら危険なレベルですよ,ちょ、ちょっと息が荒いわよ？
すみません、二人が絡んでいるのを想像してました,……危険な人物は案外近くにいるものね
さ、最後のページです,ようやく終わり？
ようやく終わり？,どれど…！？
>>54さんと>>63さんのキスの瞬間です,これ、私とあんたの…
はい、ばっちり撮られちゃいました,笑い事じゃないでしょうが！
霊夢さん、自分には浮いた話はないって,う……
せっかく二人きりなのに、あんなこと言うなんて…,それは…悪かったわよ……
言葉だけじゃ信用できません,ど、どうすればいいのよ…？
…いえ、写真以上に,……また撮られるかもしれないわよ？
構いませんよ、貴方とすれ違うほうが何百倍も問題です,うう…
ですから…,…！
次は貴方の番ですよ？,く…うぅぅ……
ん…,これで、いいでしょ…
だめです,な…？
写真以上と言いましたよね？,も、もう遅いし、そろそろ神社に帰らないと…
今夜は、泊まっていってくれて結構です！,いや、阿きゅ…眼が怖いから…
さぁ！たっぷりと愛し合いましょう！,ひ、あ、あぁー！？
どうかされましたか、お嬢様,地底に新しいレストランができたですって？
その程度でいいのかにゃ？,幻想郷の百合関係？
せっかくなのでまとめてみました,花の本？
違いますよ、まずは読んでみてください,だって百合って花のことじゃないの…？
最初に載っているのは>>3さんと>>5さんですね,幻想郷の百合関係？
幻想郷の百合関係？,紫と…あの毒人形の写真？
紫と…あの毒人形の写真？,しかも抱っこしてるし…
天狗に頼んで撮ってきてもらいました,何よ、あの二人知り合いだったの？
ええ、しかも写真のように仲いいみたいですね,ふぅん…
二人とも金髪ですし、西洋風の服で案外並ぶとお似合いかもしれませんね,紫がメディスンを抱っこ…
紫がメディスンを抱っこ…,プッ…親子かなにかみたい
プッ…親子かなにかみたい,いや、むしろま
ペッ,……はっ
…大丈夫ですか？,え、何が…？
いや、スキマに…,紫とメディスンの話でしょう？
紫とメディスンの話でしょう？,まるで姉妹みたいでお似合いだと思うわ
……,さ、次にいくわよ
さ、次にいくわよ,次は…>>18と>>20？
次は…>>18と>>20？,早苗と…ああ、天狗の片割れね
守矢神社は山にありますし、天狗とも関係を持てたんでしょうね,そういえばあの天狗が持ってたカメラ、早苗の部屋でも見たことがあるわ
ひょっとして使い方を聞きに行って仲良くなったりしたのかもしれませんね,でもはたては引きこもりとかって聞いたわよ？
久しぶりに外の世界のものを見て、何か来るものがあったのかもしれませんね,ふぅん…
ちょっといいと思いませんか？,そういうもの？
次のページへ行きましょうか,はいはい
はいはい,次は…と
>>34さんと>>36さんの二人です,あれ、こいつ…
霊夢さんは何か知っていますか？,悪いわね…思い出せないわ…
悪いわね…思い出せないわ…,でも、少なくとも幽香が付き合う相手だもの
でも、少なくとも幽香が付き合う相手だもの,それなりに腕の立つ奴なんじゃないの？
写真では角が見えますね,鬼の仲間みたいなものじゃないの？
